model,stockout_units,overstock_units,stockout_cost,holding_cost,avg_excess_inventory_value,reorder_cost,total_operating_cost
gradient_boosting,1603.966730038646,234617.29107578308,4491.106844108208,2924.681299711817,174.28713051343888,245000.0,252415.78814382
moving_average_28,1081.0377547262765,475498.5392182641,3026.9057132335743,5927.447543679731,353.22748627642477,245000.0,253954.3532569133
seasonal_naive,3894.575706270127,320622.1951772609,10904.811977556354,3996.7972275521565,238.17648784596526,245000.0,259901.6092051085
